name_raw,name_family,name_first,title,fraction,period,state
Dietrich Günter,Dietrich,Günter,NA,SPÖ,XVI,V
"Dietrich Waltraud, Ing.",Dietrich,Waltraud,Ing.,STRONACH,XXV,St
"Dillersberger Siegfried, Dr.",Dillersberger,Siegfried,Dr.,FPÖ,XVII,T
Dim Thomas,Dim,Thomas,NA,FPÖ,XXVI,O
"Dinghofer Franz, Dr.",Dinghofer,Franz,Dr.,GdP,I,O
Dinkhauser Josef,Dinkhauser,Josef,NA,ÖVP,V,T
"Disoski Meri, Mag.",Disoski,Meri,Mag.,GRÜNE,XXVII,W
"Dittrich Karl, Ing.",Dittrich,Karl,Ing.,ÖVP,XIV,W
"Ditz Johannes, Dr.",Ditz,Johannes,Dr.,ÖVP,XVII,N
Diwald Leopold,Diwald,Leopold,NA,CSP,I,N
Dobesberger Edith,Dobesberger,Edith,NA,SPÖ,XIII,O
Dobnigg Karl,Dobnigg,Karl,NA,SPÖ,XXI,St
Dohnal Johanna,Dohnal,Johanna,NA,SPÖ,XIX,W
Dolinschek Sigisbert,Dolinschek,Sigisbert,NA,FPÖ,XVIII,2
Domes Franz,Domes,Franz,NA,SdP,I,St
Donabauer Karl,Donabauer,Karl,NA,ÖVP,XIX,N
"Dönmez Efgani, PMM",Dönmez,Efgani,PMM,ÖVP,XXVI,BWV
"Donnerbauer Heribert, Mag.",Donnerbauer,Heribert,Mag.,ÖVP,XXI,N
"Doppelbauer Karin, Dipl.-Ing.",Doppelbauer,Karin,Dipl.-Ing.,NEOS,XXV,BWV
Doppler Anton,Doppler,Anton,NA,ÖVP,XXII,St
Doppler Leopold,Doppler,Leopold,NA,CSP,III,W
Doppler Rupert,Doppler,Rupert,NA,FPÖ,XXIV,S
"Dostal Hubert, Dr.",Dostal,Hubert,Dr.,CSP,I,O
Draxler Hans,Draxler,Hans,NA,SPÖ,VI,3
Drescher Martin,Drescher,Martin,NA,ÖVP,V,B
"Drexel Karl, DDr.",Drexel,Karl,DDr.,CSP,II,V
"Drobits Christian, Mag.",Drobits,Christian,Mag.,SPÖ,XXVII,B
"Drozda Thomas, Mag.",Drozda,Thomas,Mag.,SPÖ,XXVI,BWV
Duda Adolf,Duda,Adolf,NA,SdP,II,N
Duld Matthias,Duld,Matthias,NA,OK,I,B
Dunst Verena,Dunst,Verena,NA,SPÖ,XIX,B
Durchschlag Claudia,Durchschlag,Claudia,NA,ÖVP,XXIII,O
Duscher Matthias,Duscher,Matthias,NA,CSP,III,O
"Duzdar Muna, Mag.",Duzdar,Muna,Mag.,SPÖ,XXVI,W
Dworak Franz,Dworak,Franz,NA,ÖVP,VI,1
"Dziedzic Ewa, Mag. Dr. siehe Ernst-Dziedzic Ewa, Dr.",Dziedzic,Ewa,Mag. Dr.,GRÜNE,XXVII,W
Ebenbichler Gerhard,Ebenbichler,Gerhard,NA,WdU,VI,T
Eberhard Sepp,Eberhard,Sepp,NA,SPÖ,IX,K
Ebner Anton,Ebner,Anton,NA,SdP,I,St
Ebner Hans,Ebner,Hans,NA,HB,IV,4
Ecker Cornelia,Ecker,Cornelia,NA,SPÖ,XXV,S
"Ecker Rosa, MBA",Ecker,Rosa,MBA,FPÖ,XXVII,O
Eckhart Leopold,Eckhart,Leopold,NA,SPÖ,IX,N
